freq,int_rt,geo\TIME_PERIOD	1970-Q1 	1970-Q2 	1970-Q3 	1970-Q4 	1971-Q1 	1971-Q2 	1971-Q3 	1971-Q4 	1972-Q1 	1972-Q2 	1972-Q3 	1972-Q4 	1973-Q1 	1973-Q2 	1973-Q3 	1973-Q4 	1974-Q1 	1974-Q2 	1974-Q3 	1974-Q4 	1975-Q1 	1975-Q2 	1975-Q3 	1975-Q4 	1976-Q1 	1976-Q2 	1976-Q3 	1976-Q4 	1977-Q1 	1977-Q2 	1977-Q3 	1977-Q4 	1978-Q1 	1978-Q2 	1978-Q3 	1978-Q4 	1979-Q1 	1979-Q2 	1979-Q3 	1979-Q4 	1980-Q1 	1980-Q2 	1980-Q3 	1980-Q4 	1981-Q1 	1981-Q2 	1981-Q3 	1981-Q4 	1982-Q1 	1982-Q2 	1982-Q3 	1982-Q4 	1983-Q1 	1983-Q2 	1983-Q3 	1983-Q4 	1984-Q1 	1984-Q2 	1984-Q3 	1984-Q4 	1985-Q1 	1985-Q2 	1985-Q3 	1985-Q4 	1986-Q1 	1986-Q2 	1986-Q3 	1986-Q4 	1987-Q1 	1987-Q2 	1987-Q3 	1987-Q4 	1988-Q1 	1988-Q2 	1988-Q3 	1988-Q4 	1989-Q1 	1989-Q2 	1989-Q3 	1989-Q4 	1990-Q1 	1990-Q2 	1990-Q3 	1990-Q4 	1991-Q1 	1991-Q2 	1991-Q3 	1991-Q4 	1992-Q1 	1992-Q2 	1992-Q3 	1992-Q4 	1993-Q1 	1993-Q2 	1993-Q3 	1993-Q4 	1994-Q1 	1994-Q2 	1994-Q3 	1994-Q4 	1995-Q1 	1995-Q2 	1995-Q3 	1995-Q4 	1996-Q1 	1996-Q2 	1996-Q3 	1996-Q4 	1997-Q1 	1997-Q2 	1997-Q3 	1997-Q4 	1998-Q1 	1998-Q2 	1998-Q3 	1998-Q4 	1999-Q1 	1999-Q2 	1999-Q3 	1999-Q4 	2000-Q1 	2000-Q2 	2000-Q3 	2000-Q4 	2001-Q1 	2001-Q2 	2001-Q3 	2001-Q4 	2002-Q1 	2002-Q2 	2002-Q3 	2002-Q4 	2003-Q1 	2003-Q2 	2003-Q3 	2003-Q4 	2004-Q1 	2004-Q2 	2004-Q3 	2004-Q4 	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 	2024-Q3 	2024-Q4 	2025-Q1 	2025-Q2 	2025-Q3 
Q,IRT_M1,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.92549 	9.33721 	8.91485 	9.27141 	9.41616 	10.28552 	10.51613 	10.69198 	11.03174 	11.64271 	11.97001 	12.19638 	14.40024 	13.02559 	12.55796 	15.13600 	12.34760 	11.72960 	10.51830 	12.19480 	12.39000 	11.83950 	20.58020 	14.09480 	10.29310 	9.31310 	8.35740 	7.89210 	7.57970 	7.21030 	7.41050 	7.62460 	8.02890 	8.65110 	8.99170 	8.89980 	8.14780 	6.58520 	5.41030 	4.59080 	4.20360 	4.25430 	4.33440 	4.46850 	4.59810 	4.49550 	4.27830 	3.90120 	3.33430 	3.08240 	3.07380 	3.37210 	3.78140 	3.91450 	3.95050 	3.94600 	4.10200 	4.13990 	4.28800 	3.87210 	3.94520 	4.34070 	4.37990 	4.17750 	3.84180 	3.45910 	2.92250 	2.91170 	2.69370 	2.18150 	2.17990 	2.15390 	2.11350 	2.02680 	1.64550 	1.66420 	2.01300 	2.24100 	2.53360 	2.94110 	3.30780 	3.47940 	3.83230 	4.35620 	4.51920 	4.71400 	4.83740 	4.00700 	1.57320 	0.79020 	0.40640 	0.35020 	0.35430 	0.40540 	0.77140 	1.32590 	1.83670 	2.13380 	2.32220 	2.35870 	2.16660 	1.90430 	1.77010 	1.39560 	1.16100 	1.15520 	1.10420 	1.06230 	0.85940 	0.84070 	0.41100 	0.22760 	0.00430 	-0.24220 	-0.32300 	-0.44010 	-0.49000 	-0.55850 	-0.63500 	-0.63120 	-0.58210 	-0.54020 	-0.51240 	-0.53810 	-0.52910 	-0.48920 	-0.47530 	-0.45800 	-0.18280 	-0.14780 	-0.16750 	-0.13360 	0.09090 	0.05010 	-0.04400 	-0.08430 	-0.07000 	-0.06700 	-0.05270 	-0.07900 	-0.07760 	0.14300 	0.91980 	2.03900 	2.80990 	3.44680 	3.80610 	4.05060 	4.02610 	3.84320 	3.57240 	2.94370 	2.36120 	2.27360 	2.08600 
Q,IRT_M1,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.57290 	10.54420 	10.06320 	10.99790 	10.88400 	9.26510 	9.51040 	8.97110 	8.71200 	8.13290 	10.96970 	12.33460 	13.02930 	13.23970 	13.95530 	15.07140 	15.10360 	15.00380 	14.99400 	14.20600 	13.61180 	11.88080 	10.97410 	10.68260 	10.63690 	10.24500 	10.13230 	7.86390 	6.50950 	5.96260 	5.98990 	5.70760 	5.30460 	5.08830 	5.18510 	5.74310 	6.37620 	6.38920 	6.75630 	6.72740 	6.32160 	6.01270 	5.82320 	6.08330 	6.16630 	6.37500 	7.03820 	7.38800 	7.49320 	7.49440 	7.58920 	6.99790 	5.75730 	5.30430 	5.16190 	5.49670 	5.99920 	6.10550 	6.07080 	6.01260 	5.79120 	5.30710 	5.01520 	4.19160 	4.03350 	4.00640 	3.95870 	3.97560 	3.82000 	3.67210 	3.54440 	3.79200 	4.05270 	4.39190 	4.78030 	4.83360 	4.84850 	4.85590 	4.64360 	4.60360 	4.58420 	4.63980 	4.81760 	5.10750 	5.39780 	5.61490 	6.22760 	6.16010 	5.62840 	5.50650 	5.46570 	4.15080 	1.46750 	0.77790 	0.55640 	0.51250 	0.53120 	0.56100 	0.56950 	0.57470 	0.60730 	0.62510 	0.65040 	0.72710 	0.74690 	0.67050 	0.55120 	0.49920 	0.49310 	0.49240 	0.49210 	0.48860 	0.48350 	0.48790 	0.50080 	0.50440 	0.50370 	0.50690 	0.50810 	0.50670 	0.50960 	0.51000 	0.34450 	0.26260 	0.26090 	0.25370 	0.25200 	0.42780 	0.49820 	0.50940 	0.67330 	0.72810 	0.73060 	0.72860 	0.71370 	0.71110 	0.56960 	0.15350 	0.05970 	0.03760 	0.03800 	0.05100 	0.05200 	0.09370 	0.52310 	1.03140 	1.82770 	3.02150 	3.92740 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M12,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	6.50 	6.00 	5.31 	4.60 	: m	: m	: m	6.58 	: m	: m	4.57 	4.42 	4.10 	3.13 	4.64 	4.29 	: m	4.35 	4.40 	: m	: m	7.29 	7.53 	8.03 	8.61 	9.11 	9.39 	9.70 	9.46 	9.30 	9.27 	8.72 	7.99 	7.64 	7.42 	7.35 	7.19 	7.06 	6.52 	5.71 	4.57 	3.90 	3.43 	3.18 	3.06 	2.92 	2.83 	2.73 	2.32 	2.12 	2.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M12,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.92 	10.54 	11.39 	11.09 	10.70 	11.73 	12.66 	12.27 	11.68 	15.56 	15.01 	16.30 	16.39 	15.76 	13.63 	10.81 	7.97 	7.05 	6.78 	6.08 	5.86 	5.59 	5.73 	5.84 	5.33 	5.11 	5.76 	4.96 	4.46 	4.12 	3.17 	2.71 	2.47 	2.38 	2.17 	2.24 	2.32 	2.53 	3.04 	2.94 	2.36 	1.87 	1.86 	2.44 	2.30 	2.47 	2.83 	3.01 	2.83 	3.15 	3.70 	4.01 	4.17 	4.32 	4.03 	4.29 	3.03 	2.70 	2.48 	2.31 	2.02 	1.84 	1.78 	1.79 	1.81 	1.82 	1.75 	1.71 	1.75 	1.77 	1.43 	0.96 	0.82 	0.76 	0.75 	0.66 	0.56 	0.54 	0.52 	0.51 	0.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M12,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.42610 	4.59840 	4.19570 	4.26190 	3.93750 	3.85860 	3.95140 	4.01980 	4.43300 	4.17040 	4.37110 	4.51800 	4.38770 	3.63570 	3.26610 	3.69220 	4.20710 	4.59640 	5.42150 	6.21210 	5.62680 	5.13360 	4.95040 	4.52180 	3.68690 	3.92450 	4.21180 	3.74340 	3.22270 	2.70190 	2.36320 	2.26930 	2.48000 	2.27490 	2.40130 	2.45020 	2.40050 	2.38370 	2.22810 	2.23900 	2.67980 	3.05470 	3.44470 	3.75000 	4.01010 	4.25380 	4.54840 	4.80720 	4.86450 	4.71940 	5.29960 	5.72380 	5.85970 	3.90780 	2.78550 	2.13920 	1.83700 	1.82280 	1.78180 	1.74110 	1.77250 	1.82630 	2.06850 	2.07530 	1.75420 	1.58420 	1.39470 	0.88400 	0.82130 	0.80910 	0.71990 	0.80390 	0.75900 	0.74670 	0.75910 	0.73200 	0.65740 	0.27690 	0.26100 	0.37280 	0.31180 	0.30890 	0.24190 	0.15330 	0.17140 	0.11710 	0.10970 	0.06460 	0.01790 	0.03300 	0.03700 	0.02110 	0.02560 	0.03050 	-0.02610 	-0.15930 	-0.07690 	-0.04120 	0.22320 	0.13470 	0.05190 	0.04350 	0.04420 	0.02550 	-0.03130 	0.07290 	0.83370 	1.90780 	3.11950 	3.74560 	4.06540 	4.30640 	4.15870 	3.94830 	3.94220 	3.44470 	2.78680 	2.65850 	2.31220 	2.33760 
Q,IRT_M12,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.43670 	6.44330 	7.05330 	7.33330 	7.72670 	7.37330 	6.86000 	6.46670 	5.60000 	5.19330 	5.10000 	4.53330 	4.37330 	4.38670 	4.41000 	4.50670 	4.14670 	4.11000 	3.89670 	3.47000 	3.04590 	2.75960 	3.18950 	3.73380 	4.11430 	4.74930 	5.19270 	5.10790 	4.54390 	4.43790 	4.07250 	3.28910 	3.62600 	3.89870 	3.44670 	3.01080 	2.54300 	2.23420 	2.20100 	2.36190 	2.14170 	2.29200 	2.34670 	2.31490 	2.31910 	2.18590 	2.20430 	2.62800 	2.95450 	3.31560 	3.62280 	3.85840 	4.08770 	4.38100 	4.64950 	4.67650 	4.47570 	5.05450 	5.36780 	4.37810 	2.21840 	1.67320 	1.33690 	1.23870 	1.22370 	1.25280 	1.40500 	1.52110 	1.73570 	2.12750 	2.11420 	2.05240 	1.67100 	1.28130 	0.89690 	0.59960 	0.57160 	0.50600 	0.53680 	0.53010 	0.56300 	0.56910 	0.43990 	0.33370 	0.25450 	0.16950 	0.16080 	0.08870 	0.00680 	-0.01690 	-0.05370 	-0.07440 	-0.10340 	-0.13260 	-0.15950 	-0.18600 	-0.19030 	-0.18640 	-0.17180 	-0.14420 	-0.11110 	-0.14510 	-0.32540 	-0.28020 	-0.26850 	-0.11350 	-0.34960 	-0.48110 	-0.49690 	-0.48270 	-0.49380 	-0.48900 	-0.34650 	0.40160 	1.49520 	2.82530 	3.50710 	3.87470 	4.12220 	3.95500 	3.66450 	3.67900 	3.21830 	2.54790 	2.44550 	2.10150 	2.12100 
Q,IRT_M12,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.81 	2.34 	1.79 	1.79 	1.84 	1.78 	1.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M12,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34.63 	34.35 	30.78 	31.00 	31.00 	: m	: m	22.75 	18.25 	20.08 	: m	20.25 	: m	: m	: m	: m	: m	: m	: m	13.84 	: m	: m	: m	: m	: m	10.50 	10.28 	10.09 	8.41 	8.89 	9.36 	8.25 	7.07 	7.41 	9.30 	8.93 	11.80 	11.02 	: m	9.39 	8.90 	7.50 	: m	6.66 	: m	6.65 	8.34 	8.32 	8.05 	7.60 	7.45 	7.27 	: 	8.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M12,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	10.10 	11.41 	10.56 	9.31 	8.93 	7.73 	6.82 	5.28 	5.21 	4.63 	4.02 	3.85 	3.67 	3.45 	2.95 	2.88 	2.97 	2.99 	2.99 	2.93 	2.79 	2.62 	2.50 	2.69 	2.98 	3.35 	3.68 	3.91 	4.18 	5.02 	5.61 	6.67 	6.31 	6.38 	6.79 	8.94 	9.11 	9.28 	9.45 	8.19 	4.48 	2.73 	2.77 	2.55 	2.33 	2.49 	2.59 	2.58 	2.38 	1.97 	1.69 	1.25 	0.88 	1.25 	0.79 	0.68 	0.66 	0.65 	0.55 	0.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M12,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.80 	: m	: m	: m	6.00 	: m	: m	: m	: m	: m	7.00 	6.71 	6.74 	6.56 	6.89 	7.05 	7.64 	7.25 	5.39 	5.03 	5.00 	4.47 	4.36 	4.31 	4.39 	4.48 	4.49 	4.42 	4.31 	4.39 	3.78 	3.10 	2.91 	3.14 	3.76 	4.36 	5.00 	5.19 	6.12 	9.29 	9.00 	12.17 	10.16 	8.62 	8.43 	13.20 	13.10 	15.56 	17.52 	13.98 	6.47 	4.00 	3.66 	2.36 	2.20 	2.16 	2.23 	2.59 	2.59 	2.08 	1.79 	1.46 	1.10 	0.91 	0.79 	0.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M12,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	17.62 	16.06 	15.62 	11.88 	9.98 	9.49 	8.07 	6.45 	5.95 	5.15 	4.97 	5.80 	5.70 	6.63 	7.25 	6.95 	6.15 	5.26 	4.48 	4.65 	4.26 	4.30 	4.61 	4.56 	4.51 	4.80 	5.36 	5.80 	6.25 	6.71 	6.75 	6.72 	4.93 	4.76 	4.54 	4.49 	4.48 	4.10 	4.24 	4.29 	4.51 	4.73 	4.87 	4.95 	4.99 	5.06 	5.09 	4.53 	3.68 	2.91 	2.75 	2.75 	2.77 	2.78 	2.62 	2.03 	1.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M12,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: m	: m	40.79 	43.13 	51.93 	52.43 	50.45 	52.02 	91.64 	86.17 	44.21 	55.20 	70.79 	57.36 	53.08 	64.52 	68.71 	72.29 	68.26 	59.97 	60.86 	48.53 	43.44 	46.97 	48.14 	46.90 	37.52 	36.56 	34.88 	31.02 	24.67 	20.14 	15.46 	15.17 	16.64 	17.64 	17.95 	17.94 	17.00 	15.78 	11.30 	7.88 	7.15 	5.47 	6.88 	7.63 	8.46 	8.38 	7.13 	7.18 	6.87 	7.70 	9.62 	11.20 	12.08 	15.99 	14.39 	11.81 	9.19 	9.85 	7.46 	6.40 	6.92 	6.74 	6.28 	6.35 	6.35 	6.45 	5.57 	4.99 	5.55 	5.86 	5.56 	4.52 	3.80 	3.08 	2.91 	2.83 	2.36 	1.74 	1.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M12,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.41 	12.05 	11.17 	11.59 	12.11 	11.91 	14.01 	12.63 	9.71 	8.75 	7.54 	7.12 	7.06 	7.55 	9.15 	9.33 	9.28 	9.66 	9.61 	8.73 	7.56 	6.32 	5.63 	4.73 	4.35 	4.69 	4.89 	5.27 	4.98 	4.69 	4.39 	3.98 	3.36 	3.27 	4.01 	4.33 	4.77 	4.79 	4.83 	4.54 	4.20 	4.34 	4.51 	3.97 	4.42 	4.90 	4.61 	4.14 	3.72 	3.30 	3.01 	3.12 	2.68 	2.51 	2.57 	2.48 	2.25 	2.01 	1.84 	2.21 	2.49 	2.81 	3.26 	3.55 	3.76 	3.99 	4.40 	4.70 	4.65 	5.20 	5.60 	4.29 	1.81 	1.48 	1.16 	0.98 	1.00 	1.19 	1.47 	2.00 	2.67 	3.00 	2.92 	2.80 	2.78 	2.66 	2.40 	1.78 	1.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
